Exchange,Flux
EX_ala__L_e,1.5
EX_arg__L_e,1.0
EX_asc_e,1000.0
EX_asn__L_e,3.0
EX_asp__L_e,4.0
EX_btn_e,1000.0
EX_ca2_e,1000.0
EX_cat_e,0.5
EX_cbl1_e,1000.0
EX_chlgn_e,2.0
EX_cit_e,2.0
EX_cl_e,1000.0
EX_co2_e,1000.0
EX_cobalt2_e,1000.0
EX_cu2_e,1000.0
EX_epict_e,0.5
EX_fe2_e,1000.0
EX_fe3_e,1000.0
EX_fola_e,1000.0
EX_fru_e,350.0
EX_fum_e,0.1
EX_glc__D_e,120.0
EX_glu__L_e,3.0
EX_h2o_e,1000.0
EX_h_e,1000.0
EX_k_e,1000.0
EX_mal__L_e,45.0
EX_mg2_e,1000.0
EX_mn2_e,1000.0
EX_mobd_e,1000.0
EX_na1_e,1000.0
EX_ncma_e,1000.0
EX_nh4_e,1000.0
EX_ni2_e,1000.0
EX_no3_e,1000.0
EX_o2_e,1000.0
EX_ocdca_e,0.5
EX_ocdcea_e,1.0
EX_ocddca_e,1.0
EX_phe__L_e,0.5
EX_pi_e,1000.0
EX_plrdzn_e,1.0
EX_pmt_e,1.5
EX_pnto__R_e,1000.0
EX_pro__L_e,1.0
EX_prtcat_e,1.0
EX_pydxn_e,1000.0
EX_quer_e,0.5
EX_ribflv_e,1000.0
EX_sbt__D_e,40.0
EX_sbt__L_e,5.0
EX_sel_e,1000.0
EX_ser__L_e,1.0
EX_slnt_e,1000.0
EX_so4_e,1000.0
EX_succ_e,0.5
EX_sucr_e,80.0
EX_thm_e,1000.0
EX_thr__L_e,0.5
EX_tungs_e,1000.0
EX_val__L_e,0.5
EX_zn2_e,1000.0
