EC_Number	BiGG_Reaction
1.1.1.-	13HODEOR
1.1.1.-	ALCD4
1.1.1.-	ALCD4y
1.1.1.-	ALR2
1.1.1.-	BTS
1.1.1.-	BTS_nadph
1.1.1.-	CRETINOLOR2
1.1.1.-	GHBDHy
1.1.1.-	HPCOR
1.1.1.-	MSAR
1.1.1.-	RDH1a
1.1.1.-	RDH2a
1.1.1.-	RDH3a
1.1.1.-	TRETINOLOR2
1.1.1.-	UDPGALOR
1.1.1.1	34DHOXPEGOX
1.1.1.1	ALCD22xi
1.1.1.1	ALCD22xim
1.1.1.1	ALCD23xi
1.1.1.1	ALCD23xim
1.1.1.1	ALCD23yi
1.1.1.1	ALCD24xi
1.1.1.1	ALCD24xim
1.1.1.1	ALCD25xi
1.1.1.1	ALCD25xim
1.1.1.1	ALCD2ir
1.1.1.1	ALCD2irm
1.1.1.1	ALCD2x
1.1.1.1	ALCD2y
1.1.1.1	ALCD3ir
1.1.1.1	ALCD4y
1.1.1.1	ALCDH_nadp_hi
1.1.1.1	ALCDkt
1.1.1.1	BTS_nadph
1.1.1.1	BZALDH
1.1.1.1	CHOLD
1.1.1.1	RDH1
1.1.1.1	RE1711C_2
1.1.1.1	TRETINOLOR1
1.1.1.100	3OAR100
1.1.1.100	3OAR100_1
1.1.1.100	3OAR120
1.1.1.100	3OAR120_1
1.1.1.100	3OAR121
1.1.1.100	3OAR140
1.1.1.100	3OAR140_1
1.1.1.100	3OAR141
1.1.1.100	3OAR160
1.1.1.100	3OAR160_1
1.1.1.100	3OAR161
1.1.1.100	3OAR180
1.1.1.100	3OAR180_1
1.1.1.100	3OAR181
1.1.1.100	3OAR181_1
1.1.1.100	3OAR40
1.1.1.100	3OAR40_1
1.1.1.100	3OAR60
1.1.1.100	3OAR60_1
1.1.1.100	3OAR80
1.1.1.100	3OAR80_1
1.1.1.103	R01465m
1.1.1.103	THRD
1.1.1.132	NOT_IN_BIGG_DATABASE
1.1.1.133	TDPDRR
1.1.1.135	NOT_IN_BIGG_DATABASE
1.1.1.136	NOT_IN_BIGG_DATABASE
1.1.1.140	SBTPD
1.1.1.157	HADPCOADH3
1.1.1.157	HBCO_nadp
1.1.1.157	HBCO_nadp_m
1.1.1.169	DPR
1.1.1.169	DPRm
1.1.1.169	PNORn
1.1.1.17	M1PD
1.1.1.175	NOT_IN_BIGG_DATABASE
1.1.1.178	HACD9
1.1.1.178	HACD9m
1.1.1.18	INS2D
1.1.1.192	NOT_IN_BIGG_DATABASE
1.1.1.193	APRAUR
1.1.1.193	AUNOR
1.1.1.2	ALCD19y
1.1.1.2	ALCD22xi
1.1.1.2	ALCD22xim
1.1.1.2	ALCD22yi
1.1.1.2	ALCD2y
1.1.1.2	ALCD3ir
1.1.1.2	ALCD4y
1.1.1.2	ALCDH_nadp_hi
1.1.1.2	ARABR
1.1.1.2	ARABRr
1.1.1.2	BTS_nadph
1.1.1.2	GULND
1.1.1.2	GULNDer
1.1.1.2	SBTR
1.1.1.2	SBTRh
1.1.1.2	r0246
1.1.1.202	13PPDH
1.1.1.202	ALCD3ir
1.1.1.203	NOT_IN_BIGG_DATABASE
1.1.1.205	6TINS5MPOR
1.1.1.205	IMPD
1.1.1.205	IMPDm
1.1.1.219	NOT_IN_BIGG_DATABASE
1.1.1.22	UDPGD
1.1.1.23	HDH
1.1.1.23	HDHh
1.1.1.23	HISTD
1.1.1.237	34HPLFM
1.1.1.25	SHK3Dr
1.1.1.25	SKDH
1.1.1.26	GLYCDH_1
1.1.1.26	GLYCLTDx
1.1.1.26	HPYRRx
1.1.1.261	NOT_IN_BIGG_DATABASE
1.1.1.262	NOT_IN_BIGG_DATABASE
1.1.1.264	IDOND
1.1.1.264	IDOND2
1.1.1.267	DXPRIi
1.1.1.267	DXRI
1.1.1.27	2HBO
1.1.1.27	LDH2
1.1.1.27	LDH_L
1.1.1.27	LDH_Lm
1.1.1.27	LLDHh
1.1.1.27	MCLORi
1.1.1.27	r0173
1.1.1.271	GFUCS
1.1.1.271	GOFUCR
1.1.1.271	r0782
1.1.1.274	NOT_IN_BIGG_DATABASE
1.1.1.28	LDH_D
1.1.1.28	LDHm
1.1.1.281	NOT_IN_BIGG_DATABASE
1.1.1.282	QUINDH
1.1.1.282	SHK3Dr
1.1.1.282	SKDH
1.1.1.284	FALDH
1.1.1.284	FALDH2
1.1.1.29	GLYCDH_1
1.1.1.29	GLYCLTDx
1.1.1.29	HPYRRx
1.1.1.290	PERD
1.1.1.292	NOT_IN_BIGG_DATABASE
1.1.1.298	MSAR
1.1.1.3	HSDH
1.1.1.3	HSDxi
1.1.1.3	HSDy
1.1.1.30	BDH
1.1.1.30	BDHm
1.1.1.30	HBNOx
1.1.1.304	NOT_IN_BIGG_DATABASE
1.1.1.31	HIBDm
1.1.1.31	HMNO
1.1.1.310	SLDx
1.1.1.310	SLDxi2
1.1.1.310	SLDxm
1.1.1.313	NOT_IN_BIGG_DATABASE
1.1.1.336	UACMAMO
1.1.1.338	NOT_IN_BIGG_DATABASE
1.1.1.343	NOT_IN_BIGG_DATABASE
1.1.1.346	NOT_IN_BIGG_DATABASE
1.1.1.35	3HOPCD
1.1.1.35	HACD1
1.1.1.35	HACD10p
1.1.1.35	HACD1_1
1.1.1.35	HACD1i
1.1.1.35	HACD1m
1.1.1.35	HACD1x
1.1.1.35	HACD2
1.1.1.35	HACD2_1
1.1.1.35	HACD2i
1.1.1.35	HACD2m
1.1.1.35	HACD3
1.1.1.35	HACD3_1
1.1.1.35	HACD3i
1.1.1.35	HACD3m
1.1.1.35	HACD4
1.1.1.35	HACD4i
1.1.1.35	HACD4m
1.1.1.35	HACD4p
1.1.1.35	HACD5
1.1.1.35	HACD5i
1.1.1.35	HACD5m
1.1.1.35	HACD5p
1.1.1.35	HACD6
1.1.1.35	HACD6i
1.1.1.35	HACD6m
1.1.1.35	HACD6p
1.1.1.35	HACD7
1.1.1.35	HACD7i
1.1.1.35	HACD7m
1.1.1.35	HACD7p
1.1.1.35	HACD8
1.1.1.35	HACD8i
1.1.1.35	HACD8p
1.1.1.35	HACD9
1.1.1.35	HACD9m
1.1.1.35	HACDp
1.1.1.35	HADPCOADH3
1.1.1.35	HBCO_nadp
1.1.1.35	HBCO_nadp_m
1.1.1.35	HIBDkt
1.1.1.35	HMNO
1.1.1.36	AACOAR_syn
1.1.1.36	RHACOAR100
1.1.1.36	RHACOAR140
1.1.1.36	RHACOAR60
1.1.1.36	RHACOAR80
1.1.1.361	NOT_IN_BIGG_DATABASE
1.1.1.363	G6PBDH
1.1.1.363	G6PBDHh
1.1.1.363	G6PDH1
1.1.1.363	G6PDH1er
1.1.1.363	G6PDH2er
1.1.1.363	G6PDH2r
1.1.1.37	MDH
1.1.1.37	MDHf
1.1.1.37	MDHh
1.1.1.37	MDHi2
1.1.1.37	MDHm
1.1.1.37	MDHp
1.1.1.370	NOT_IN_BIGG_DATABASE
1.1.1.371	NOT_IN_BIGG_DATABASE
1.1.1.373	NOT_IN_BIGG_DATABASE
1.1.1.38	ME1
